resource type	catalogue_item_reference 	resource_fullname 	resource_shortname 	date_of_availability 	resource_short_description 	languages_resource 	member academic research 	member commercial research 	member academic commercial 	member commercial commercial 	member academic evaluation 	member commercial evaluation 	non_member academic research 	non_member commercial research 	non_member academic commercial 	non_member commercial commercial 	non_member academic evaluation 	non_member commercial evaluation 	special_price 
Broadcast resources	S0241	ESTER Corpus		6/28/07	"The ESTER Corpus is a subset of the ESTER Evaluation Package (catalogue ref. ELRA-E0021), which was produced within the French national project ESTER (Evaluation of Broadcast News enriched transcription systems), as part of the Technolangue programme funded by the French Ministry of Research and New Technologies (MRNT). The ESTER project enabled to carry out a campaign for the evaluation of Broadcast News enriched transcription systems for French.  This corpus includes the material that was used for the ESTER evaluation campaign, excluding the textual data (available in this catalogue and referenced ELRA-W0015 and ELRA-W0023)."	French	300.00 EUR	5000.00 EUR	20000.00 EUR	20000.00 EUR	NULL	1000.00 EUR	2000.00 EUR	7500.00 EUR	25000.00 EUR	25000.00 EUR	NULL	6500.00 EUR	No_special_price
Broadcast resources	S0275	Slovenian BNSI Broadcast News Speech Corpus		4/22/08	"This speech database consists of TV news shows (both evening news, ôTV Dnevnikö and late night news, ôOdmeviö), from the archive of a Slovenian national broadcaster RTV Slovenia. The recordings took place between June 1999 and May 2003. The database comprises a total of 36 hours of recordings, transcribed and manually checked using the Transcriber tool. 1,565 speakers were recorded (1,069 males, 477 females, 19 unspecified)."	Slovenian	6000.00 EUR	19000.00 EUR	19000.00 EUR	19000.00 EUR	NULL	NULL	10000.00 EUR	33000.00 EUR	33000.00 EUR	33000.00 EUR	NULL	NULL	No_special_price
Desktop/microphone	S0282-01	BAS PHATT 1.0.X (sub-set)		9/16/08	"The Ph@ttSessionz speech database contains recordings of 864 adolescent speakers of German (age range 12-20). The recordings were performed via the WWW in public schools (Gymnasium) in 41 locations in Germany. Recordings were done with SpeechRecorder in selected schools in the years 2005-2007. Both channels, the headset and the desktop microphone, were recorded in high quality.  The BAS PHATT corpus is available in two versions: BAS PHATT 1.0.X (sub-set, ELRA-S0282-01) and BAS PHATT 1.1.X (complete corpus, ELRA-S0282-02).  BAS PHATT 1.0.X contains 41 items.  See also ELRA-S0082-02."	German	512.00 EUR	2512.00 EUR	2512.00 EUR	2512.00 EUR	NULL	NULL	512.00 EUR	3512.00 EUR	3512.00 EUR	3512.00 EUR	NULL	NULL	No_special_price
Desktop/microphone	S0282-02	BAS PHATT 1.1.X (complete corpus)		9/16/08	"The Ph@ttSessionz speech database contains recordings of 864 adolescent speakers of German (age range 12-20). The recordings were performed via the WWW in public schools (Gymnasium) in 41 locations in Germany. Recordings were done with SpeechRecorder in selected schools in the years 2005-2007. Both channels, the headset and the desktop microphone, were recorded in high quality.  The BAS PHATT corpus is available in two versions: BAS PHATT 1.0.X (sub-set, ELRA-S0282-01) and BAS PHATT 1.1.X (complete corpus, ELRA-S0282-02).  BAS PHATT 1.1.X contains 138 items.  See also ELRA-S0082-01."	German	1917.30 EUR	3917.30 EUR	3917.30 EUR	3917.30 EUR	NULL	NULL	3834.75 EUR	6834.75 EUR	6834.75 EUR	6834.75 EUR	NULL	NULL	No_special_price
Desktop/microphone	S0294	CHIEDE Corpus: a spontaneous child language corpus of Spanish		12/11/08	"The spontaneous child language corpus, CHIEDE, consists of 58,163 words, in 30 texts, with 7 hours and 53 minutes of recordings and 59 child participants. About a third of the whole corpus is formed by child language and the remaining two thirds by adult speech. The main feature of CHIEDE is the interactions spontaneity: texts are recordings of communicative situations in their natural context."	"Spanish, Castilian"	100.00 EUR	3000.00 EUR	3000.00 EUR	3000.00 EUR	NULL	NULL	200.00 EUR	5000.00 EUR	5000.00 EUR	5000.00 EUR	NULL	NULL	No_special_price
Desktop/microphone	S0299	Alcohol Language Corpus (BAS ALC)		4/24/09	"ALC contains recordings of 88 German speakers that are either intoxicated or sober. The type of speech ranges from read single digits to full conversation style. Recordings were done during drinking test where speakers drank beer or wine to reach a self-chosen level of alcoholic intoxication. Recordings were performed in two standing automobiles. In the intoxicated state 30 items were sampled from each speaker, while in the sober state 60 items were recorded."	German	510.00 EUR	510.00 EUR	510.00 EUR	510.00 EUR	NULL	NULL	1020.00 EUR	1020.00 EUR	1020.00 EUR	1020.00 EUR	NULL	NULL	No_special_price
Written corpora	W0008-01	MTP Annotated  German corpus - untagged version		9/1/96	"A 500,000 German words corpus of SGML-formatted texts from two German newspapers, the Frankfurter Allgemeine Zeitung and Die Zeit, for the years 1990 to 1992."	German	2000.00 EUR	2000.00 EUR	2000.00 EUR	2000.00 EUR	NULL	NULL	3500.00 EUR	3500.00 EUR	3500.00 EUR	3500.00 EUR	NULL	NULL	No_special_price
Written corpora	W0008-02	MTP Annotated  German corpus - tagged version		9/1/96	"A 500,000 German words corpus of SGML-formatted texts from two German newspapers, the Frankfurter Allgemeine Zeitung and Die Zeit, for the years 1990 to 1992."	German	8000.00 EUR	8000.00 EUR	8000.00 EUR	8000.00 EUR	NULL	NULL	12000.00 EUR	12000.00 EUR	12000.00 EUR	12000.00 EUR	NULL	NULL	No_special_price
Written corpora	W0010	PRESS 65		1/23/97	Over 1 million running words taken from Swedish newspapers from year 65.	Swedish	12000.00 EUR	12000.00 EUR	NULL	NULL	NULL	NULL	20000.00 EUR	20000.00 EUR	NULL	NULL	NULL	NULL	No_special_price
Written corpora	W0011	Tagged text in French (MEMODATA)		1/23/97	"Over 170 (tagged) French books (classical novels, legal texts) with typographic tags. Another tagged corpus of 50 books is available for research only. The books consist of authors of the 19th century. See also W0012."	French	1723.00 EUR	2154.00 EUR	2154.00 EUR	2154.00 EUR	NULL	NULL	2154.00 EUR	2692.00 EUR	2692.00 EUR	2692.00 EUR	NULL	NULL	No_special_price
